v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Jewelry Accessories 034,sexylingerie-us/sexylingerie/0636.jpg,Womens Rhinestone Heart Belt,"Product Name: <strong>Womens Rhinestone Heart Belt</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Rhinestone heart belt measures approximately 44 inches in total length and can be adjusted to any size, perfect accessory for any outfit!",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 035,sexylingerie-us/sexylingerie/0637.jpg, Hearts Rhinestone Belly Chain and Lower Back ,"Product Name: <strong>Hearts Rhinestone Belly Chain and Lower Back</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Hearts Rhinestone Belly Chain and Lower Back. adjustable row belt. Perfect to add some sexy spakle to any outfit.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 036,sexylingerie-us/sexylingerie/0638.jpg,Sexy Butterfly Rhinestone Belly Chain and Lower Back,"Product Name: <strong>Sexy Butterfly Rhinestone Belly Chain and Lower Back</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Sexy Butterfly Rhinestone Belly Chain and Lower Back. adjustable row belt. Perfect to add some sexy spakle to any outfit.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 037,sexylingerie-us/sexylingerie/0639.jpg,Two Row Rhinestone Belt,"Product Name: <strong>Two Row Rhinestone Belt</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Two row rhinestone belt measures approximately 37 inches in total length, can be adjusted to fit any size and has small rhinestone heart pendant at end.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 038,sexylingerie-us/sexylingerie/0640.jpg,Double Heart Rhinestone Belly Chain and Lower Back,"Product Name: <strong>Double Heart Rhinestone Belly Chain and Lower Back</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Double Heart Rhinestone Belly Chain and Lower Back. adjustable row belt. Perfect to add some sexy spakle to any outfit.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 039,sexylingerie-us/sexylingerie/0641.jpg,Womens Rhinestone Slave Bracelet,"Product Name: <strong>Womens Rhinestone Slave Bracelet</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Rhinestone Slave Bracelet.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 040,sexylingerie-us/sexylingerie/0642.jpg,Pirates of the Caribbean Mysterious Octopus Necklace,"Product Name: <strong>Pirates of the Caribbean Mysterious Octopus Necklace</strong><br>
Colors: Gold<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Pirates of the Caribbean mysterious octopus necklace.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 041,sexylingerie-us/sexylingerie/0643.jpg,Boutique Rose diamond Bra Straps,"Product Name: <strong>Boutique Rose diamond Bra Straps</strong><br>
Colors: White/Red<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Boutique Rose diamond Bra Straps.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 042,sexylingerie-us/sexylingerie/0644.jpg,Single Rows Of Black Diamonds Bra Straps,"Product Name: <strong>Single Rows Of Black Diamonds Bra Straps</strong><br>
Colors: White/Black<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Single Rows Of Black Diamonds Bra Straps.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 043,sexylingerie-us/sexylingerie/0645.jpg,Three Pink Flowers Bra Straps,"Product Name: <strong>Three Pink Flowers Bra Straps</strong><br>
Colors: White/Red<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Three Pink Flowers Bra Straps.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 044,sexylingerie-us/sexylingerie/0646.jpg,Purple White Shell Beads Interval Bra Straps,"Product Name: <strong>Purple White Shell Beads Interval Bra Straps</strong><br>
Colors: Purple/White<br>
Sizes: One Size Fits Most<br>
Materials: Plastic<br>
Feature: Purple White Shell Beads Interval Bra Straps.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 045,sexylingerie-us/sexylingerie/0648.jpg,Womens Rhinestone Sexy Necklace,"Product Name: <strong>Womens Rhinestone Sexy Necklace</strong><br>
Colors: Gold/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Rhinestone Sexy Necklace.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 046,sexylingerie-us/sexylingerie/0651.jpg,Rhinestone Heart Lariat Necklace and Earring,"Product Name: <strong>Rhinestone Heart Lariat Necklace and Earring</strong><br>
Colors: Gold/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Rhinestone Heart Lariat Necklace and Earring.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 047,sexylingerie-us/sexylingerie/0654.jpg,Womens Rhinestone Tie Necklace,"Product Name: <strong>Womens Rhinestone Tie Necklace</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Womens Rhinestone Tie Necklace.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 048,sexylingerie-us/sexylingerie/0655.jpg,Rhinestone Heart Necklace With Earring,"Product Name: <strong>Rhinestone Heart Necklace With Earring</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Rhinestone Heart Necklace With Earring.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 049,sexylingerie-us/sexylingerie/0658.jpg,Rhinestone Anklet Bracelet with Silver Tone,"Product Name: <strong>Rhinestone Anklet Bracelet with Silver Tone</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Rhinestone Anklet Bracelet with silver tone adjustable chain with lobster clasp. Dazzling Austrian Crystal Rhinestones.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 050,sexylingerie-us/sexylingerie/0660.jpg,Sexy Rhinestone Slave Bracelet,"Product Name: <strong>Sexy Rhinestone Slave Bracelet</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Sexy Rhinestone Slave Bracelet.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 051,sexylingerie-us/sexylingerie/0662.jpg,Womens Rhinestone Slave Choker,"Product Name: <strong>Womens Rhinestone Slave Choker</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Rhinestone Slave Choker.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 052,sexylingerie-us/sexylingerie/0649.jpg,Womens Rhinestone Choker Necklace,"Product Name: <strong>Womens Rhinestone Choker Necklace</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Womens Rhinestone Choker Necklace.",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
